"","id","id_str","name","screen_name","location","description","url","followers_count","friends_count"
"1",829794295355940864,"829794295355940866","Sen Luther Strange","SenatorStrange","Alabama, USA","Official Twitter account for Alabama Senator Luther Strange",,1376,81
"2",827279765287559168,"827279765287559171","Rep. Mike Johnson","RepMikeJohnson","Washington, DC","Proudly serving Louisiana's 4th Congressional District. Member on @HouseJudiciary & @NatResources.","https://t.co/qLAyhrFbRl",717,358
"3",817138492614524928,"817138492614524928","Ted Budd","RepTedBudd","Davie County, North Carolina ","Proudly serving the 13th district of North Carolina. #NC13","https://t.co/VTsvWe0pia",1024,45
"4",817076257770835968,"817076257770835968","Adriano Espaillat","RepEspaillat","https://www.facebook.com/Congr","U. S. Representative proudly serving New York’s 13th Congressional District. Follow my work in Washington and #NY13","https://t.co/lcRqmQFAbz",3416,345
"5",817050219007328256,"817050219007328258","Rep. Blunt Rochester","RepBRochester","Delaware, USA - Washington, DC","Official Twitter page for U.S. Representative Lisa Blunt Rochester (D-DE). Tweets from Rep. Blunt Rochester signed -LBR.","https://t.co/Fe3XCG51wO",1563,181
"6",816833925456789504,"816833925456789505","Nanette D. Barragán","RepBarragan","San Pedro, CA","Official account. Honored to represent California's 44th Congressional District #CA44. Member of the @HispanicCaucus @USProgressives  @Dodgers fan.","https://t.co/Mt3nPi7hSH",3161,299
"7",816719802328715264,"816719802328715264","Rep. Liz Cheney","RepLizCheney","Wyoming, USA","Official Page of Congressman Liz Cheney, proudly representing the people of Wyoming.","https://t.co/lBZ7grDQC9",1195,8
"8",816705409486618624,"816705409486618624","Tom Suozzi","RepTomSuozzi","Glen Cove, NY","Representing New York's 3rd Congressional District including parts of Queens, Nassau and Suffolk counties. https://t.co/aWr41ZGlpq","https://t.co/W1aDTzXG3i",1537,71
"9",816683274076614656,"816683274076614656","John Kennedy","SenJohnKennedy","Louisiana","The official Twitter page for U.S. Senator John N. Kennedy (R-La) https://t.co/4ceoNzx1Ck","https://t.co/idGDfTIv0R",2507,1158
"10",816303263586914304,"816303263586914304","Brian Fitzpatrick","RepBrianFitz","Levittown, PA","An independent voice for the people of #PA08. Former FBI Special Agent & Federal Prosecutor. EMT, CPA & Philly sports fan. #GoBirds",,1623,115
"11",816298918468259840,"816298918468259841","Rep. Ro Khanna","RepRoKhanna","Silicon Valley, CA","Ro Khanna, US representative for #CA17 in Silicon Valley. Working to bring tech jobs in my district & across America. No contributions from PACs, lobbyists.","https://t.co/zsSd8F9cmH",2586,111
"12",816284664658874368,"816284664658874368","Rep. Arrington","RepArrington","West Texas","The official Twitter account for Congressman Jodey Arrington. Building a better West Texas. Fighting for the future of America.","https://t.co/DZziBJQejF",1186,638
"13",816282029276938240,"816282029276938240","Rep. Ruben J. Kihuen","RepKihuen","Las Vegas, NV","U.S. Representative proudly serving Nevada's 4th Congressional District. #NV04","https://t.co/hxkQxh0y6f",5851,105
"14",816181091673448448,"816181091673448448","Rep. Donald McEachin","RepMcEachin","","Father, husband & Progressive Democrat in Congress. Proudly representing VA’s 4th Congressional District. Member of @HASCDemocrats & @NRDems.","https://t.co/IsHgFCD4gT",2118,780
"15",816157667882373120,"816157667882373120","Rep. Salud Carbajal","RepCarbajal","","Proudly representing California's 24th Congressional District.","https://t.co/NUyaVL9EFp",2106,577
"16",816131319033950208,"816131319033950208","Jim Banks","RepJimBanks","Indiana's 3rd District","Official account of U.S. Congressman Jim Banks (IN-3).","https://t.co/Uxbf6p28Ch",1497,283
"17",816111677917851648,"816111677917851649","Francis Rooney","RepRooney","SWFL","Honored to serve the citizens of Florida's 19th Congressional District. Official Government account.",,1078,149
"18",816047090849746944,"816047090849746945","Jason Lewis","RepJasonLewis","","Proudly representing #MN02.   Fighting for a better future for our kids and a government that works for you.","https://t.co/wc5GLQ9gpP",1941,92
"19",816030424778543104,"816030424778543104","Rep. Charlie Crist","RepCharlieCrist","St Petersburg, FL","Representing Florida's 13th Congressional District in the U.S. House of Representatives.","https://t.co/sRAl6TocNC",1941,160
"20",816012124505931776,"816012124505931780","Rep. David Kustoff","repdavidkustoff","Washington, D.C./TN-08","Official news and updates from Congressman David Kustoff (R-Tenn.), Proudly serving the 8th District of Tennessee","https://t.co/ZB6hjscM8M",1141,293
"21",815985039485837312,"815985039485837312","Lou Correa","RepLouCorrea","Santa Ana, CA","Official Twitter account of Rep. Lou Correa CA-46",,1059,0
"22",815966620300480512,"815966620300480514","Rep. Mike Gallagher","RepGallagher","Green Bay, WI","Green Bay Native, Marine Veteran, and Eisenhower Nerd proudly representing #WI08 in Congress. #GoPackGo.","https://t.co/uBDJgXRW2D",1475,297
"23",815952318487298048,"815952318487298048","Dr. Neal Dunn","DrNealDunnFL2","","Official government Twitter account for Congressman Neal Dunn (FL-02).","https://t.co/6TJeLaAA4w",1307,104
"24",815931811348017152,"815931811348017152","John Faso","RepJohnFaso","NY-19","Representing New York's 19th Congressional District","https://t.co/pObyHYjCtj",1964,113
"25",815310506596691968,"815310506596691968","Rep Josh Gottheimer","RepJoshG","","Honored to serve the people of New Jersey's 5th District. Working across the aisle to solve problems, lower taxes, and fight for Jersey values.","https://t.co/ceIx0jIT4u",1400,20
