ID,PEWINTMOB,PEWDEVICE1A,PEWSNSINT2,PEWQ20,PEWINTFREQ,PEWTECH1,POL20F1,POL19F2,POL1,POL1AA,POL1AB,POL30F2,ATTENTION,POL62F1A,POL62F1B,AGE,SEX,RACE,STATE
1,Yes,Yes,Yes,Very confident,Almost constantly,Equal positive and negative effects,Worse than expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,Mostly united,NA,44,Female,White,Florida
2,Yes,Yes,Yes,Very confident,Almost constantly,Mostly positive,Worse than expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,Mostly united,NA,42,Female,White,Oregon
3,Yes,Yes,Yes,Very confident,Several times a day,Mostly positive,Better than expected,Too impulsive,Approve,Very strongly,NA,A stronger position internationally,I am paying attention,NA,Mostly united,38,female,White,South Carolina
4,Yes,No,No,Very confident,Almost constantly,Mostly positive,About as expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,NA,Mostly divided,31,male,White,Indiana
5,Yes,Yes,Yes,Very confident,Almost constantly,Equal positive and negative effects,Worse than expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,NA,Mostly divided,29,Female,White,California
6,Yes,Yes,Yes,Somewhat confident,Almost constantly,Mostly negative,About as expected,Too impulsive,Disapprove,NA,Not so strongly,A stronger position internationally,I am paying attention,Mostly divided,NA,36,female,Other,Tennessee
7,Yes,Yes,Yes,Very confident,Almost constantly,Equal positive and negative effects,About as expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,Mostly united,NA,21,female,Black,Texas
8,Yes,Yes,Yes,Very confident,Almost constantly,Equal positive and negative effects,Worse than expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,NA,Mostly united,33,female,White,Georgia
9,Yes,Yes,Yes,Very confident,Several times a day,Mostly positive,About as expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,NA,Mostly united,38,female,Hispanic,California
10,Yes,Yes,Yes,Very confident,Almost constantly,Mostly positive,NA,Too impulsive,NA,NA,NA,A stronger position internationally,I am paying attention,NA,Mostly divided,42,Male,White,North Carolina
11,Yes,Yes,Yes,Very confident,Almost constantly,Mostly positive,Worse than expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,Mostly united,NA,31,male,White,Illinois
12,Yes,Yes,Yes,Very confident,Almost constantly,Mostly positive,Worse than expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,Mostly divided,NA,23,female,White,California
13,Yes,Yes,Yes,Very confident,Almost constantly,Mostly positive,Worse than expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,Mostly united,NA,44,female,White,Oregon
14,Yes,Yes,Yes,Very confident,Almost constantly,Mostly positive,Better than expected,About right,Approve,Very strongly,NA,A stronger position internationally,I am paying attention,NA,Mostly divided,25,male,White,Missouri
15,Yes,Yes,Yes,Very confident,Several times a day,Mostly positive,Worse than expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,NA,Mostly divided,26,Male,Asian,California
16,Yes,Yes,Yes,Very confident,Almost constantly,Mostly positive,Worse than expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,NA,Mostly divided,28,male,Asian,California
17,Yes,Yes,Yes,Very confident,Almost constantly,Mostly positive,About as expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,Mostly united,NA,20,Female,Black,Virginia
18,Yes,Yes,Yes,Very confident,Almost constantly,Equal positive and negative effects,Worse than expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,Mostly divided,NA,43,female,White,Washington
19,Yes,Yes,Yes,Very confident,Almost constantly,Mostly positive,About as expected,Too impulsive,NA,NA,NA,About the same position internationally,I am paying attention,NA,NA,31,male,Hispanic,Illinois
20,Yes,Yes,No,Very confident,Several times a day,Equal positive and negative effects,About as expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,Mostly divided,NA,28,female,White,New York
21,Yes,Yes,Yes,Very confident,Almost constantly,Mostly positive,Worse than expected,Too impulsive,Disapprove,NA,Not so strongly,A weaker position internationally,I am paying attention,NA,Mostly divided,35,male,White,Illinois
22,Yes,Yes,Yes,Very confident,Almost constantly,Equal positive and negative effects,Better than expected,About right,Approve,Very strongly,NA,A stronger position internationally,I am paying attention,NA,Mostly divided,24,Male,White,District of Columbia
23,Yes,Yes,Yes,Very confident,Almost constantly,Mostly positive,Worse than expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,NA,NA,31,male,White,Texas
