V1,V2,V3,V4,V5,mTurkCode,Q26,INTMOB,SNSINT2,Q20,INTFREQ,DEVICE1a,TECH1,Q27,Q.1,Q.1_prompt,Q.1a_approve,Q.1a_disapprove,Q.30F2,Q.19F2,Q.20F1,Q62.F1,Q19,Q21,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q23_9,Q23_10,Q23_11,Q23_12,Q23_13,Q23_14,Q23_15,Q23_16,Q25,Q27,Q29,Q31,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q33_7,Q33_8,Q33_9,Q33_10,Q33_11,Q33_12,Q33_13,Q33_14,Q33_15,
ResponseID,ResponseSet,StartDate,EndDate,Finished,mTurkCode,Welcome to our survey. We are interested in understanding your internet usage and political attit...,"Do you access the internet on a cellphone, tablet or other mobile handheld device, at least occas...","Do you ever use social media sites like Facebook, Twitter or LinkedIn?","Overall, how confident do you feel using computers, smartphones, or other electronic devices to d...",About how often do you use the internet?,"Next, do you have a cellphone, or not?","Overall, would you say technology has had a mostly positive effect on our society or a mostly neg...",Thank you.  Next we have a few questions about current events and the President.,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Overall do you approve or disapprove of the way Donald Trump is handling his job as President?,"Do you approve very strongly, or not so strongly?","Do you disapprove very strongly, or not so strongly?","Compared with the Obama Administration, do you think the policies of the Trump Administration hav...","In making important decisions, do you think Donald Trump is:","Overall, has Donald Trump done better than you expected as president, worse than you expected as...","Thinking about the Republican Party these days, how would you describe its views on issues and vi...",What is your sex?,"Are you of Hispanic, Latino or Spanish origin?",What is your race? Please select as many as apply. -White,What is your race? Please select as many as apply. -Black or African-American,What is your race? Please select as many as apply. -American Indian or Alaska Native,What is your race? Please select as many as apply. -Asian Indian,What is your race? Please select as many as apply. -Chinese,What is your race? Please select as many as apply. -Filipino,What is your race? Please select as many as apply. -Other Asian,What is your race? Please select as many as apply. -Japanese,What is your race? Please select as many as apply. -Korean,What is your race? Please select as many as apply. -Vietnamese,What is your race? Please select as many as apply. -Native Hawaiian,What is your race? Please select as many as apply. -Guamaian or Chamorro,What is your race? Please select as many as apply. -Samoan,What is your race? Please select as many as apply. -Other Pacific Islander,What is your race? Please select as many as apply. -Other Asian,What is your race? Please select as many as apply. -Some other race,What is your age? Please enter in years. ,What is the highest level of education you have completed?,Information about income is very important to understand.  Would you please give your best guess?...,"50 States, D.C. and Puerto Rico",Debates about music are a pastime of American life. Everyone has a different musician. We want to...-Jay-Z,Debates about music are a pastime of American life. Everyone has a different musician. We want to...-The Beatles,Debates about music are a pastime of American life. Everyone has a different musician. We want to...-The Rolling Stones,Debates about music are a pastime of American life. Everyone has a different musician. We want to...-Aretha Franklin,Debates about music are a pastime of American life. Everyone has a different musician. We want to...-Fiona Apple,Debates about music are a pastime of American life. Everyone has a different musician. We want to...-Beyonce,Debates about music are a pastime of American life. Everyone has a different musician. We want to...-Beethoven,Debates about music are a pastime of American life. Everyone has a different musician. We want to...-Aerosmith,Debates about music are a pastime of American life. Everyone has a different musician. We want to...-Taylor Swift,Debates about music are a pastime of American life. Everyone has a different musician. We want to...-Adele,Debates about music are a pastime of American life. Everyone has a different musician. We want to...-The Who,Debates about music are a pastime of American life. Everyone has a different musician. We want to...-The Killers,Debates about music are a pastime of American life. Everyone has a different musician. We want to...-Drake,Debates about music are a pastime of American life. Everyone has a different musician. We want to...-Arcade Fire,Debates about music are a pastime of American life. Everyone has a different musician. We want to...-Mozart,
R_1igkOGwIhnq9Zo1,Default Response Set,2017-06-22 13:46:00,2017-06-22 13:47:08,1,8341551,1,1,1,2,2,1,2,1,3,3,,,3,2,3,3,2,1,1,,,,,,,,,,,,,,,,25,3,2,3,,,,,,1,1,,,,,,,,,
R_3lWDzKSrZsqftCq,Default Response Set,2017-06-22 13:45:59,2017-06-22 13:47:10,1,5908510,1,1,1,1,1,1,1,1,3,2,,2,1,2,2,1,2,5,1,,,,,,,,,,,,,,,,23,4,4,5,,,,,,1,1,,,,,,,,,
R_6A0eAJJ8OngsnG9,Default Response Set,2017-06-22 13:45:57,2017-06-22 13:47:13,1,8536152,1,1,1,1,1,1,1,1,2,,,1,2,2,2,3,2,1,1,,,,,,,,,,,,,,,,30,5,7,14,,,,,,1,1,,,,,,,,,
R_1Cl1Aj6WdKbyrXH,Default Response Set,2017-06-22 13:46:21,2017-06-22 13:47:31,1,1954144,1,1,1,1,1,1,1,1,1,,1,,2,1,1,2,1,1,1,,,,,,,,,,,,,,,,35,4,5,16,,,,,,1,1,,,,,,,,,
R_31cosj9mpCTEHSS,Default Response Set,2017-06-22 13:45:59,2017-06-22 13:47:53,1,8662700,1,1,1,1,2,1,1,1,2,,,1,2,2,2,2,2,1,1,,,,,,,,,,,,,,,,23,4,2,52,,,,,,1,1,,,,,,,,,
R_33D2M1RP2zpuFVd,Default Response Set,2017-06-22 13:46:05,2017-06-22 13:47:56,1,9282422,1,1,1,2,1,1,1,1,1,,1,,1,3,3,1,1,1,1,,,,,,,,,,,,,,,,54,4,7,34,,,,,,1,1,,,,,,,,,
R_1OkUbYQ69GgVoUr,Default Response Set,2017-06-22 13:45:56,2017-06-22 13:48:02,1,9708740,1,1,1,1,1,1,3,1,1,,1,,1,3,1,1,1,1,1,,,,,,,,,,,,,,,,44,3,6,5,,,,,,1,1,,,,,,,,,
R_DITr5hGlr3Evv1L,Default Response Set,2017-06-22 13:46:45,2017-06-22 13:48:02,1,490886,1,1,1,1,1,1,2,1,2,,,1,2,2,3,2,1,1,1,,,,,,,,,,,,,,,,33,4,2,22,,,,,,1,1,,,,,,,,,
R_3nMg1gdlDrphnse,Default Response Set,2017-06-22 13:45:57,2017-06-22 13:48:27,1,9255869,1,1,1,1,1,1,1,1,2,,,2,2,2,2,2,2,1,1,,,,,,,,,,,,,,,,28,4,4,31,,,,,,1,1,,,,,,,,,
