timestamp,Adult Use of Marijuana Act,Alcohol abuse,Anorexia nervosa,Arnold Schwarzenegger,Arthritis,Board of supervisors,California,California Department of Food and Agriculture,California Department of Public Health,California Proposition 19 (1972),California Proposition 19 (2010),California Proposition 215 (1996),California Proposition 36 (2000),California Senate Bill 420,California State Legislature,Cancer,Cannabis in California,Caregiver,Charles R. Breyer,Chronic pain,Conant v. McCaffrey,Dan Lungren,Decriminalization,Dennis Peron,Diego de Borica,District attorney,Drug Policy Alliance,Drug abuse,Drug possession,Ed Rosenthal,Emerald Triangle,Financial Crimes Enforcement Network,Financial compensation,Fort Ross,Glaucoma,Gonzales v. Raich,Governor of California,Gray Davis,HIV/AIDS,Hashish,Initiatives and referendums in the United States,Interstate commerce,John Chiang (California politician),Life imprisonment,Los Angeles,"Marijuana Control, Regulation, and Education Act",Medical cannabis,Medical necessity,Migraine,Mission San José (California),Multiple sclerosis,National Organization for the Reform of Marijuana Laws,Oakland Cannabis Buyers' Cooperative,"Oakland, California",Oaksterdam University,Paraquat,Pete Wilson,Plant cultivation,Prima facie,Proposition 215,Psychoactive drug,Recreational marijuana,Richard Lee (activist),Rohrabacher–Farr amendment,Rolling paper,Russian colonization of the Americas,"San Diego County, California",San Francisco,San Francisco Cannabis Buyers Club,"Santa Ana, California","Santa Cruz, California",Schedule I drugs,Sonoratown,Spasticity,Supreme Court of California,Terence Hallinan,Time (magazine),Tom Ammiano,United States,United States Department of Justice,United States v. Oakland Cannabis Buyers' Cooperative,Veto,West Hollywood,Wo/Men's Alliance for Medical Marijuana
2016-08-01,69.0,406.0,2569.0,22848.0,2344.0,49.0,10447.0,25.0,27.0,9.0,79.0,122.0,26.0,65.0,233.0,4888.0,675.0,568.0,22.0,326.0,1.0,33.0,199.0,16.0,12.0,670.0,45.0,205.0,79.0,31.0,270.0,193.0,53.0,73.0,2822.0,93.0,665.0,557.0,5372.0,1847.0,141.0,42.0,131.0,1418.0,9779.0,14.0,1578.0,46.0,3956.0,56.0,8558.0,117.0,7.0,1977.0,45.0,450.0,350.0,19.0,716.0,3.0,1248.0,4.0,8.0,,192.0,148.0,659.0,6900.0,12.0,622.0,1094.0,,3.0,435.0,130.0,35.0,1424.0,35.0,38026.0,946.0,9.0,451.0,82.0,1.0
2016-08-02,73.0,404.0,2747.0,18139.0,2525.0,35.0,10035.0,75.0,25.0,19.0,74.0,133.0,31.0,80.0,204.0,4950.0,682.0,294.0,42.0,384.0,2.0,49.0,214.0,25.0,10.0,648.0,51.0,208.0,86.0,48.0,339.0,172.0,57.0,71.0,2874.0,110.0,745.0,489.0,5487.0,1773.0,116.0,40.0,235.0,1499.0,9243.0,18.0,1617.0,54.0,4194.0,49.0,8347.0,110.0,1.0,1799.0,32.0,494.0,404.0,17.0,879.0,3.0,1175.0,1.0,9.0,,189.0,169.0,744.0,6888.0,21.0,616.0,945.0,,2.0,474.0,111.0,33.0,1459.0,25.0,36987.0,1057.0,20.0,449.0,91.0,1.0
2016-08-03,92.0,536.0,2689.0,16063.0,2289.0,49.0,11086.0,214.0,20.0,9.0,69.0,147.0,32.0,54.0,195.0,4885.0,698.0,285.0,31.0,360.0,4.0,49.0,162.0,20.0,5.0,670.0,63.0,178.0,83.0,31.0,243.0,215.0,48.0,57.0,2904.0,97.0,738.0,542.0,5038.0,2275.0,131.0,38.0,294.0,1667.0,9468.0,20.0,1545.0,52.0,4024.0,36.0,8367.0,130.0,3.0,1741.0,35.0,520.0,369.0,12.0,722.0,4.0,1161.0,1.0,11.0,,205.0,177.0,534.0,6967.0,21.0,578.0,1012.0,2.0,3.0,461.0,111.0,46.0,1287.0,31.0,36368.0,958.0,10.0,455.0,72.0,3.0
2016-08-04,71.0,496.0,2857.0,16143.0,2301.0,48.0,9654.0,29.0,21.0,11.0,57.0,123.0,26.0,54.0,241.0,4762.0,713.0,296.0,42.0,361.0,1.0,37.0,155.0,8.0,9.0,717.0,32.0,173.0,70.0,38.0,218.0,175.0,57.0,44.0,2999.0,85.0,628.0,536.0,5078.0,2218.0,106.0,47.0,153.0,1627.0,9336.0,8.0,2391.0,40.0,3809.0,36.0,7944.0,97.0,2.0,1652.0,33.0,484.0,572.0,11.0,775.0,4.0,1151.0,1.0,7.0,,209.0,154.0,552.0,6374.0,8.0,501.0,999.0,,1.0,449.0,127.0,44.0,1319.0,22.0,36343.0,1093.0,11.0,445.0,69.0,0.0
2016-08-05,53.0,379.0,2607.0,19078.0,2321.0,41.0,9467.0,27.0,20.0,2.0,48.0,146.0,31.0,48.0,222.0,4345.0,780.0,230.0,61.0,313.0,2.0,46.0,107.0,24.0,19.0,701.0,35.0,154.0,64.0,25.0,207.0,153.0,42.0,72.0,2834.0,99.0,567.0,445.0,4607.0,1817.0,117.0,46.0,143.0,1578.0,9710.0,15.0,2693.0,22.0,3557.0,36.0,6925.0,104.0,3.0,1784.0,39.0,479.0,340.0,16.0,670.0,2.0,1085.0,0.0,7.0,,232.0,172.0,553.0,6219.0,11.0,526.0,971.0,,1.0,376.0,100.0,40.0,1271.0,27.0,36585.0,1189.0,8.0,345.0,66.0,1.0
2016-08-06,55.0,367.0,2177.0,17572.0,1994.0,26.0,9209.0,20.0,12.0,4.0,26.0,100.0,13.0,46.0,142.0,3920.0,703.0,163.0,28.0,253.0,2.0,31.0,110.0,8.0,9.0,468.0,20.0,141.0,52.0,23.0,197.0,77.0,30.0,62.0,2456.0,54.0,449.0,343.0,4641.0,1777.0,64.0,34.0,69.0,1309.0,11725.0,10.0,2500.0,16.0,3062.0,58.0,6611.0,72.0,0.0,1868.0,29.0,359.0,300.0,12.0,476.0,2.0,1053.0,0.0,2.0,,200.0,147.0,598.0,6011.0,8.0,555.0,937.0,0.0,1.0,323.0,83.0,27.0,1178.0,28.0,50794.0,850.0,6.0,353.0,72.0,0.0
2016-08-07,40.0,426.0,2527.0,17383.0,1960.0,42.0,9494.0,28.0,7.0,2.0,19.0,89.0,14.0,59.0,175.0,5156.0,753.0,248.0,20.0,256.0,2.0,28.0,124.0,16.0,7.0,562.0,23.0,162.0,62.0,25.0,226.0,73.0,35.0,56.0,2363.0,52.0,502.0,374.0,5524.0,1776.0,65.0,23.0,84.0,1431.0,11110.0,3.0,1250.0,16.0,3184.0,53.0,7654.0,76.0,0.0,1904.0,55.0,403.0,279.0,6.0,568.0,5.0,1187.0,,7.0,,204.0,156.0,524.0,6689.0,14.0,591.0,1085.0,,,330.0,127.0,20.0,1206.0,25.0,40179.0,802.0,11.0,326.0,94.0,0.0
2016-08-08,52.0,515.0,2901.0,13489.0,2417.0,78.0,9850.0,31.0,13.0,8.0,52.0,114.0,26.0,62.0,191.0,4498.0,755.0,295.0,23.0,394.0,1.0,45.0,92.0,15.0,7.0,546.0,43.0,175.0,80.0,37.0,201.0,191.0,62.0,65.0,2847.0,67.0,610.0,447.0,5560.0,1810.0,102.0,36.0,124.0,1380.0,10641.0,13.0,1655.0,37.0,3878.0,55.0,8237.0,106.0,0.0,1790.0,37.0,515.0,336.0,6.0,644.0,7.0,1246.0,0.0,4.0,,204.0,145.0,743.0,6628.0,12.0,562.0,1067.0,,,492.0,144.0,22.0,1311.0,28.0,42158.0,878.0,7.0,374.0,70.0,1.0
2016-08-09,53.0,591.0,2483.0,13003.0,2443.0,47.0,9370.0,17.0,19.0,7.0,51.0,108.0,30.0,71.0,185.0,4744.0,717.0,277.0,21.0,377.0,1.0,42.0,113.0,14.0,12.0,608.0,42.0,177.0,68.0,36.0,247.0,150.0,55.0,49.0,2908.0,72.0,461.0,356.0,5263.0,1820.0,98.0,34.0,122.0,1365.0,9578.0,8.0,1476.0,36.0,3733.0,41.0,8515.0,84.0,2.0,1840.0,43.0,495.0,257.0,10.0,765.0,3.0,1184.0,5.0,4.0,,224.0,154.0,628.0,6054.0,10.0,521.0,1007.0,,2.0,437.0,109.0,31.0,1269.0,26.0,40465.0,937.0,6.0,390.0,90.0,2.0
2016-08-10,65.0,551.0,2574.0,12681.0,2344.0,56.0,9417.0,29.0,16.0,3.0,45.0,133.0,56.0,59.0,157.0,4848.0,785.0,277.0,15.0,354.0,1.0,37.0,129.0,20.0,3.0,626.0,38.0,169.0,62.0,25.0,203.0,170.0,60.0,45.0,2831.0,110.0,448.0,353.0,5431.0,1712.0,99.0,37.0,103.0,1340.0,10112.0,11.0,1411.0,55.0,3800.0,55.0,7287.0,57.0,3.0,1688.0,44.0,467.0,263.0,16.0,718.0,2.0,1249.0,2.0,4.0,,187.0,127.0,497.0,6464.0,14.0,506.0,929.0,1.0,0.0,437.0,80.0,24.0,1333.0,31.0,40730.0,1241.0,18.0,373.0,68.0,3.0
