timestamp,Adult Use of Marijuana Act,Alcohol abuse,Anorexia nervosa,Arnold Schwarzenegger,Arthritis,Board of supervisors,Bureau of Cannabis Control,California,California Department of Food and Agriculture,California Department of Public Health,California Proposition 19 (1972),California Proposition 19 (2010),California Proposition 215 (1996),California Proposition 36 (2000),California Senate Bill 420,California State Legislature,Cancer,Cannabis in California,Caregiver,Charles R. Breyer,Chronic pain,Compassionate Use Act of 1996,Conant v. McCaffrey,Dan Lungren,Decriminalization,Dennis Peron,Diego de Borica,District attorney,Drug Policy Alliance,Drug abuse,Drug possession,Ed Rosenthal,Emerald Triangle,Financial Crimes Enforcement Network,Financial compensation,Fort Ross,Glaucoma,Gonzales v. Raich,Governor of California,Gray Davis,HIV/AIDS,Hashish,Initiatives and referendums in the United States,Interstate commerce,John Chiang (California politician),Life imprisonment,Los Angeles,"Marijuana Control, Regulation, and Education Act",Medical cannabis,Medical necessity,Migraine,Mission San José (California),Multiple sclerosis,National Organization for the Reform of Marijuana Laws,Oakland Cannabis Buyers' Cooperative,"Oakland, California",Oaksterdam University,Paraquat,Pete Wilson,Plant cultivation,Prima facie,Proposition 215,Psychoactive drug,Recreational marijuana,Richard Lee (activist),Rohrabacher–Farr amendment,Rolling paper,Russian colonization of the Americas,"San Diego County, California",San Francisco,San Francisco Cannabis Buyers Club,"Santa Ana, California","Santa Cruz, California",Schedule I drugs,Sonoratown,Spasticity,Supreme Court of California,Terence Hallinan,Time (magazine),Tom Ammiano,United States,United States Department of Justice,United States v. Oakland Cannabis Buyers' Cooperative,Veto,West Hollywood,Wo/Men's Alliance for Medical Marijuana
2017-10-01,92.0,369.0,2612.0,17010.0,1623.0,32.0,,11221.0,15.0,10.0,2.0,21.0,127.0,31.0,43.0,167.0,4284.0,589.0,252.0,20.0,522.0,,4.0,38.0,102.0,19.0,2.0,481.0,40.0,166.0,71.0,29.0,216.0,133.0,50.0,55.0,2256.0,234.0,470.0,434.0,5315.0,2141.0,207.0,31.0,222.0,1578.0,9079.0,10.0,1232.0,25.0,2696.0,44.0,5794.0,60.0,4.0,1839.0,47.0,352.0,229.0,16.0,654.0,1.0,1137.0,7.0,4.0,63.0,199.0,406.0,498.0,5489.0,6.0,471.0,760.0,1.0,5.0,407.0,190.0,38.0,1362.0,44.0,35641.0,835.0,10.0,313.0,76.0,3.0
2017-10-02,136.0,535.0,2633.0,12970.0,1886.0,42.0,,10806.0,23.0,14.0,4.0,35.0,181.0,48.0,53.0,206.0,5383.0,552.0,295.0,25.0,453.0,,11.0,43.0,228.0,17.0,13.0,718.0,60.0,162.0,79.0,31.0,185.0,179.0,50.0,49.0,2814.0,603.0,496.0,369.0,6527.0,1924.0,462.0,50.0,184.0,1954.0,11065.0,16.0,1432.0,42.0,3213.0,64.0,6723.0,94.0,6.0,1759.0,56.0,506.0,210.0,10.0,908.0,3.0,1456.0,7.0,15.0,107.0,208.0,229.0,539.0,5775.0,11.0,543.0,781.0,,13.0,531.0,190.0,34.0,1540.0,56.0,45414.0,1132.0,26.0,449.0,70.0,1.0
2017-10-03,141.0,512.0,3123.0,17047.0,2047.0,51.0,,10560.0,15.0,26.0,6.0,36.0,152.0,54.0,68.0,233.0,5101.0,560.0,286.0,32.0,433.0,,10.0,63.0,244.0,18.0,7.0,684.0,48.0,149.0,75.0,33.0,205.0,215.0,68.0,56.0,3035.0,622.0,509.0,375.0,6369.0,1820.0,549.0,57.0,158.0,1743.0,10237.0,9.0,1415.0,50.0,3307.0,66.0,6688.0,91.0,1.0,1620.0,58.0,476.0,240.0,17.0,916.0,9.0,1449.0,4.0,5.0,111.0,200.0,211.0,502.0,5599.0,10.0,533.0,742.0,,5.0,497.0,158.0,25.0,1414.0,37.0,46962.0,1186.0,33.0,537.0,64.0,3.0
2017-10-04,128.0,509.0,2757.0,15635.0,2076.0,45.0,,10656.0,18.0,26.0,4.0,25.0,161.0,31.0,53.0,249.0,5238.0,554.0,372.0,24.0,384.0,,8.0,81.0,184.0,12.0,4.0,670.0,48.0,166.0,71.0,39.0,183.0,375.0,43.0,49.0,2932.0,613.0,524.0,465.0,6068.0,1853.0,595.0,57.0,143.0,2333.0,9380.0,8.0,1353.0,48.0,3303.0,69.0,8207.0,100.0,1.0,1592.0,66.0,518.0,260.0,27.0,862.0,3.0,1627.0,5.0,15.0,77.0,220.0,228.0,561.0,6067.0,8.0,530.0,706.0,,0.0,572.0,200.0,30.0,1413.0,16.0,45040.0,1384.0,22.0,501.0,72.0,3.0
2017-10-05,129.0,447.0,2574.0,13846.0,1962.0,44.0,,10655.0,19.0,16.0,9.0,13.0,142.0,33.0,52.0,303.0,5109.0,544.0,329.0,20.0,486.0,,3.0,70.0,157.0,12.0,5.0,654.0,46.0,174.0,76.0,25.0,213.0,237.0,47.0,52.0,3147.0,551.0,568.0,442.0,6568.0,1904.0,509.0,58.0,160.0,1833.0,8727.0,8.0,1448.0,39.0,3209.0,73.0,7744.0,80.0,0.0,1604.0,63.0,503.0,313.0,13.0,890.0,3.0,3278.0,2.0,8.0,107.0,235.0,193.0,617.0,5938.0,6.0,512.0,685.0,0.0,4.0,552.0,198.0,41.0,1447.0,40.0,44218.0,1375.0,36.0,489.0,60.0,9.0
2017-10-06,110.0,378.0,2278.0,14146.0,1780.0,41.0,,10209.0,16.0,27.0,7.0,33.0,159.0,34.0,69.0,271.0,4684.0,479.0,227.0,34.0,406.0,,10.0,49.0,145.0,20.0,9.0,691.0,47.0,133.0,74.0,42.0,234.0,205.0,43.0,55.0,2825.0,512.0,748.0,576.0,5995.0,1938.0,408.0,56.0,178.0,1518.0,8431.0,10.0,1744.0,40.0,3051.0,69.0,8474.0,74.0,5.0,1463.0,53.0,458.0,307.0,14.0,696.0,3.0,3125.0,1.0,6.0,72.0,196.0,187.0,533.0,5446.0,5.0,509.0,658.0,,,454.0,160.0,28.0,1398.0,34.0,41903.0,1178.0,22.0,440.0,61.0,4.0
2017-10-07,88.0,347.0,2024.0,16966.0,1624.0,32.0,,8837.0,16.0,16.0,10.0,27.0,129.0,23.0,52.0,204.0,4098.0,548.0,207.0,10.0,326.0,,5.0,40.0,103.0,13.0,3.0,540.0,30.0,128.0,70.0,33.0,202.0,129.0,55.0,34.0,2565.0,171.0,647.0,916.0,4913.0,1920.0,134.0,30.0,111.0,1573.0,8447.0,5.0,1148.0,12.0,2847.0,47.0,5792.0,79.0,,1322.0,48.0,341.0,300.0,12.0,565.0,0.0,1844.0,4.0,11.0,58.0,230.0,175.0,473.0,5217.0,14.0,432.0,638.0,0.0,0.0,356.0,135.0,22.0,1318.0,43.0,34039.0,813.0,21.0,288.0,78.0,1.0
2017-10-08,107.0,426.0,2430.0,15993.0,1760.0,29.0,,10041.0,14.0,5.0,3.0,40.0,118.0,23.0,42.0,216.0,4589.0,532.0,270.0,9.0,397.0,,2.0,37.0,113.0,12.0,12.0,571.0,30.0,175.0,72.0,42.0,239.0,129.0,37.0,50.0,2523.0,220.0,597.0,667.0,5814.0,2078.0,159.0,31.0,158.0,1682.0,9235.0,9.0,1183.0,24.0,2884.0,80.0,6003.0,76.0,,1803.0,39.0,367.0,353.0,15.0,679.0,6.0,1636.0,3.0,7.0,123.0,248.0,179.0,483.0,5761.0,10.0,543.0,866.0,0.0,3.0,442.0,128.0,29.0,1338.0,41.0,36634.0,881.0,21.0,402.0,67.0,2.0
2017-10-09,122.0,492.0,2715.0,14916.0,2145.0,48.0,,11920.0,20.0,17.0,6.0,33.0,157.0,27.0,50.0,322.0,5434.0,514.0,313.0,12.0,433.0,,8.0,62.0,164.0,19.0,9.0,564.0,49.0,178.0,85.0,30.0,256.0,234.0,32.0,52.0,3071.0,481.0,749.0,614.0,6156.0,2036.0,308.0,50.0,164.0,1939.0,9676.0,9.0,1395.0,41.0,3542.0,248.0,6885.0,79.0,1.0,1723.0,56.0,502.0,617.0,13.0,954.0,7.0,1653.0,1.0,6.0,127.0,222.0,260.0,641.0,6818.0,13.0,644.0,921.0,,1.0,513.0,163.0,24.0,1738.0,38.0,41931.0,1041.0,42.0,532.0,67.0,4.0
2017-10-10,158.0,482.0,2982.0,15055.0,1842.0,62.0,,15682.0,26.0,24.0,5.0,30.0,176.0,46.0,51.0,319.0,5707.0,557.0,340.0,15.0,466.0,,8.0,42.0,163.0,14.0,7.0,638.0,52.0,161.0,90.0,45.0,394.0,199.0,50.0,66.0,3291.0,656.0,887.0,586.0,6482.0,1987.0,376.0,62.0,171.0,1619.0,9426.0,6.0,1440.0,42.0,3565.0,128.0,6845.0,87.0,1.0,1787.0,58.0,507.0,497.0,14.0,877.0,4.0,1612.0,3.0,6.0,158.0,201.0,300.0,755.0,7308.0,11.0,829.0,951.0,,2.0,567.0,175.0,31.0,1713.0,35.0,45911.0,1259.0,25.0,526.0,67.0,
2017-10-11,128.0,511.0,2862.0,14385.0,1824.0,46.0,,12931.0,24.0,20.0,6.0,23.0,171.0,53.0,43.0,282.0,5501.0,520.0,332.0,19.0,446.0,,15.0,79.0,204.0,16.0,6.0,710.0,36.0,165.0,69.0,25.0,320.0,231.0,47.0,78.0,3272.0,438.0,746.0,452.0,8228.0,2010.0,326.0,49.0,158.0,2266.0,8980.0,10.0,1419.0,39.0,3504.0,81.0,7690.0,62.0,1.0,1735.0,70.0,517.0,378.0,11.0,902.0,3.0,1402.0,2.0,5.0,198.0,223.0,252.0,749.0,6523.0,16.0,598.0,844.0,,3.0,533.0,180.0,36.0,1605.0,30.0,45306.0,1140.0,22.0,530.0,58.0,3.0
