sensitivity_flagged,gender,age,education,employment,employment_other,hispanic,ethnicity,ethnicity_other,state,political_views,political_affiliation,harassment_sexual,harassment_other
1,2,50,4,1,,2,1,,10,2,1,2,2
1,1,27,4,1,,2,2,,7,3,3,2,2
1,1,22,4,2,,2,3,,1,4,2,4,1
1,1,29,2,1,,2,1,,48,5,2,2,2
1,1,29,4,2,,2,1,,33,5,2,2,2
1,2,36,3,1,,2,1,,18,5,2,2,2
1,2,35,4,1,,2,1,,17,4,2,2,2
1,2,26,4,1,,2,1,,50,5,2,2,2
1,2,26,3,1,,2,1,,34,4,3,2,1
1,2,34,4,1,,2,1,,5,4,2,2,2
1,2,55,3,1,,2,1,,34,2,1,2,2
1,2,59,3,1,,2,1,,44,3,1,2,2
1,2,21,2,1,,2,1,,6,3,3,2,2
1,1,35,4,1,,2,1,,49,5,2,2,2
1,2,36,3,1,,2,1,,22,5,2,2,2
1,1,29,2,1,,2,1,,44,4,3,2,2
1,2,30,4,1,,2,1,,11,2,1,2,2
1,1,28,4,1,,2,3,,11,4,2,2,2
1,2,25,4,9,,2,3,,33,4,3,2,2
1,2,18,2,1,,2,1,,5,5,2,1,3
1,2,63,3,5,,2,1,,26,3,3,2,2
1,2,23,3,1,,2,1,,18,5,2,2,2
1,1,26,4,1,,2,1,,48,3,1,2,2
1,1,32,4,1,,2,1,,22,5,3,2,2
1,1,25,3,1,,2,1,,48,3,3,2,2
1,2,21,4,2,,2,2,,45,4,2,2,2
1,1,63,4,1,,2,1,,50,4,2,2,2
1,2,24,6,7,,2,1,,34,4,2,2,2
1,1,69,4,5,,2,1,,24,1,1,2,2
1,2,28,6,2,,2,1,,22,4,2,2,2
1,1,40,4,1,,2,1,,17,4,2,2,2
1,2,47,4,1,,2,1,,10,3,1,2,2
1,1,31,4,1,,2,1,,22,4,2,2,2
1,1,39,4,1,,2,1,,33,3,3,2,2
1,1,63,3,5,,2,1,,51,4,2,2,2
1,1,34,2,1,,2,1,,45,1,3,2,2
1,1,34,2,2,,2,1,,10,4,2,2,2
1,2,35,5,2,,2,1,,45,3,3,2,2
1,2,29,3,1,,2,2,,48,3,3,2,2
1,2,33,6,1,,2,2,,11,2,3,2,2
1,2,40,3,6,,2,2,,36,4,2,2,1
1,1,25,4,1,,2,1,,39,4,2,2,2
1,1,30,4,1,,2,3,,26,4,2,2,2
1,2,47,3,1,,2,1,,1,3,3,2,2
1,1,41,2,4,,2,1,,14,3,3,2,2
1,1,29,4,1,,2,3,,21,4,2,2,2
1,1,24,3,1,,2,1,,42,2,1,2,2
1,2,18,3,8,Working part time and taking summer classes,2,3,,22,4,2,2,2
1,1,30,4,4,,2,1,,51,2,3,2,2
1,1,29,3,4,,2,1,,31,4,3,2,2
1,2,44,3,1,,2,1,,15,3,3,2,2
1,2,26,3,1,,1,1,,5,3,2,2,2
1,1,27,3,6,,1,1,,23,4,2,5,5
1,1,24,4,2,,1,5,mixed-black/white,23,4,2,5,2
1,1,30,3,1,,2,1,,5,4,2,2,2
1,2,32,3,1,,2,1,,35,4,2,2,2
1,1,36,3,1,,2,1,,36,3,3,2,2
1,1,58,3,1,,2,1,,36,3,3,2,2
1,2,28,3,4,,1,5,Hispanic,5,6,5,5,5
1,2,28,4,1,,2,1,,21,4,4,2,2
1,2,63,2,1,,2,1,,36,3,2,2,3
1,1,65,4,5,,2,1,,3,2,1,2,2
1,2,36,3,1,,2,1,,51,5,2,2,2
1,1,35,6,1,,2,1,,37,3,2,2,2
1,2,29,4,1,,2,1,,19,1,1,2,2
1,2,34,3,1,,2,1,,44,3,3,2,2
1,1,31,3,1,,2,1,,34,2,1,2,2
1,2,34,4,7,,2,1,,10,2,1,2,2
1,2,58,5,1,,2,1,,5,2,3,2,2
1,2,52,3,1,,2,1,,49,5,2,2,2
1,1,31,3,1,,2,1,,10,4,2,2,2
1,1,35,4,1,,2,1,,39,4,2,2,2
1,2,23,4,9,,2,3,,33,3,3,2,2
1,2,62,3,1,,2,1,,10,3,2,2,2
1,2,55,3,1,,2,1,,50,1,1,2,2
1,1,40,2,1,,2,1,,39,4,2,2,2
1,1,35,6,1,,2,1,,45,1,1,2,2
1,1,48,6,2,,2,2,,45,3,1,2,2
1,1,36,3,1,,1,1,,10,2,1,2,1
1,1,31,6,1,,2,1,,31,5,2,2,2
1,1,35,3,1,,2,1,,24,3,3,2,2
1,1,25,4,1,,2,3,,23,3,3,2,2
1,2,44,3,2,,2,1,,34,5,3,2,2
1,1,35,6,1,,2,1,,33,4,2,2,2
1,1,25,5,1,,2,1,,25,5,2,2,2
1,2,29,2,2,,2,1,,10,3,1,1,2
1,1,32,4,1,,2,1,,22,4,3,2,2
1,1,25,3,1,,2,1,,15,4,2,2,2
1,1,25,3,1,,2,1,,23,3,3,2,1
1,1,47,3,4,,2,1,,6,4,2,5,5
1,2,38,4,2,,2,4,,47,3,2,2,2
1,1,44,3,1,,2,1,,48,1,1,2,2
1,1,33,2,1,,2,1,,34,4,2,2,2
1,2,36,4,1,,2,1,,44,3,3,2,2
1,2,28,4,7,,2,1,,45,3,3,5,5
1,2,34,4,1,,2,2,,48,3,2,2,2
1,2,30,4,4,,2,1,,10,5,2,4,2
1,1,20,2,1,,2,1,,11,5,2,2,2
1,1,22,2,6,,2,3,,33,3,3,2,2
1,1,30,4,1,,2,2,,2,1,2,2,2
1,1,30,4,1,,2,1,,11,2,1,2,2
1,1,24,4,1,,2,2,,51,3,3,2,2
1,1,27,3,1,,2,2,,11,3,3,2,2
1,2,54,4,4,,2,1,,29,3,3,2,2
1,1,65,4,5,,2,1,,24,4,2,2,2
1,1,48,3,1,,2,1,,39,5,2,2,2
1,2,70,4,5,,1,1,,10,6,3,5,5
1,2,61,3,2,,2,1,,5,4,3,2,2
1,2,73,3,8,retired/self-employed,2,1,,5,4,2,5,5
1,1,31,2,1,,2,1,,33,5,2,2,2
1,2,23,3,1,,2,1,,1,1,1,2,2
1,1,29,4,3,,2,1,,30,3,3,2,2
1,1,32,4,1,,2,1,,23,2,1,2,2
1,1,28,4,1,,2,1,,22,2,1,2,2
1,1,27,6,2,,1,1,,7,3,3,3,3
1,2,44,4,1,,2,1,,45,2,1,2,2
1,2,41,4,1,,2,1,,23,4,2,2,2
1,1,25,2,1,,2,1,,42,3,3,2,2
1,2,29,4,1,,1,1,,5,4,1,1,1
1,1,35,3,1,,2,1,,36,1,1,2,2
1,1,30,4,1,,2,1,,10,2,3,2,2
1,1,30,4,1,,2,1,,23,1,1,2,2
1,2,28,3,4,,2,2,,21,5,2,5,5
1,1,28,5,2,,1,1,,49,4,3,1,2
