"sex","age_cat","race","region","POP"
"Female","18 - 29","asian","Midwest",238235
"Female","18 - 29","asian","Northeast",408574
"Female","18 - 29","asian","South",436054
"Female","18 - 29","asian","West",783727
"Female","18 - 29","black","Midwest",605944
"Female","18 - 29","black","Northeast",559594
"Female","18 - 29","black","South",2088994
"Female","18 - 29","black","West",297322
"Female","18 - 29","hispanic","Midwest",478347
"Female","18 - 29","hispanic","Northeast",755071
"Female","18 - 29","hispanic","South",1916881
"Female","18 - 29","hispanic","West",2100695
"Female","18 - 29","other","Midwest",170495
"Female","18 - 29","other","Northeast",125080
"Female","18 - 29","other","South",300258
"Female","18 - 29","other","West",340773
"Female","18 - 29","white","Midwest",3789209
"Female","18 - 29","white","Northeast",2640514
"Female","18 - 29","white","South",5158592
"Female","18 - 29","white","West",2977368
"Female","30 - 49","asian","Midwest",320562
"Female","30 - 49","asian","Northeast",556390
"Female","30 - 49","asian","South",677406
"Female","30 - 49","asian","West",1227916
"Female","30 - 49","black","Midwest",924284
"Female","30 - 49","black","Northeast",874700
"Female","30 - 49","black","South",3241988
"Female","30 - 49","black","West",441831
"Female","30 - 49","hispanic","Midwest",666215
"Female","30 - 49","hispanic","Northeast",1108791
"Female","30 - 49","hispanic","South",2876230
"Female","30 - 49","hispanic","West",2999065
"Female","30 - 49","other","Midwest",203624
"Female","30 - 49","other","Northeast",168746
"Female","30 - 49","other","South",393045
"Female","30 - 49","other","West",436714
"Female","30 - 49","white","Midwest",6391357
"Female","30 - 49","white","Northeast",4602490
"Female","30 - 49","white","South",8755995
"Female","30 - 49","white","West",4704600
"Female","50 - 64","asian","Midwest",153021
"Female","50 - 64","asian","Northeast",299306
"Female","50 - 64","asian","South",339852
"Female","50 - 64","asian","West",788350
"Female","50 - 64","black","Midwest",636017
"Female","50 - 64","black","Northeast",588139
"Female","50 - 64","black","South",2176794
"Female","50 - 64","black","West",295403
"Female","50 - 64","hispanic","Midwest",280524
"Female","50 - 64","hispanic","Northeast",545326
"Female","50 - 64","hispanic","South",1329271
"Female","50 - 64","hispanic","West",1412489
"Female","50 - 64","other","Midwest",110942
"Female","50 - 64","other","Northeast",85919
"Female","50 - 64","other","South",221476
"Female","50 - 64","other","West",246576
"Female","50 - 64","white","Midwest",5547830
"Female","50 - 64","white","Northeast",4123074
"Female","50 - 64","white","South",7581126
"Female","50 - 64","white","West",4256526
"Female","65 +","asian","Midwest",125641
"Female","65 +","asian","Northeast",243959
"Female","65 +","asian","South",268928
"Female","65 +","asian","West",672555
"Female","65 +","black","Midwest",557270
"Female","65 +","black","Northeast",519496
"Female","65 +","black","South",1805476
"Female","65 +","black","West",250206
"Female","65 +","hispanic","Midwest",319925
"Female","65 +","hispanic","Northeast",534136
"Female","65 +","hispanic","South",1447480
"Female","65 +","hispanic","West",1463314
"Female","65 +","other","Midwest",146899
"Female","65 +","other","Northeast",98530
"Female","65 +","other","South",268625
"Female","65 +","other","West",271858
"Female","65 +","white","Midwest",5301109
"Female","65 +","white","Northeast",4043117
"Female","65 +","white","South",7651374
"Female","65 +","white","West",4078068
"Male","18 - 29","asian","Midwest",226510
"Male","18 - 29","asian","Northeast",367820
"Male","18 - 29","asian","South",391038
"Male","18 - 29","asian","West",725940
"Male","18 - 29","black","Midwest",586434
"Male","18 - 29","black","Northeast",540703
"Male","18 - 29","black","South",1937109
"Male","18 - 29","black","West",340437
"Male","18 - 29","hispanic","Midwest",514354
"Male","18 - 29","hispanic","Northeast",820699
"Male","18 - 29","hispanic","South",2106048
"Male","18 - 29","hispanic","West",2242652
"Male","18 - 29","other","Midwest",161703
"Male","18 - 29","other","Northeast",119809
"Male","18 - 29","other","South",275688
"Male","18 - 29","other","West",362108
"Male","18 - 29","white","Midwest",3885648
"Male","18 - 29","white","Northeast",2701771
"Male","18 - 29","white","South",5199687
