"sex","age_cat","race","region","POP"
"Female","18 - 29","asian","midwest",233134
"Female","18 - 29","asian","northeast",344382
"Female","18 - 29","asian","south",375306
"Female","18 - 29","asian","west",676880
"Female","18 - 29","black","midwest",663298
"Female","18 - 29","black","northeast",575184
"Female","18 - 29","black","south",2206032
"Female","18 - 29","black","west",324777
"Female","18 - 29","hispanic","midwest",552480
"Female","18 - 29","hispanic","northeast",766140
"Female","18 - 29","hispanic","south",2064443
"Female","18 - 29","hispanic","west",2341676
"Female","18 - 29","other","midwest",221332
"Female","18 - 29","other","northeast",154733
"Female","18 - 29","other","south",380847
"Female","18 - 29","other","west",381968
"Female","18 - 29","white","midwest",3749102
"Female","18 - 29","white","northeast",2608784
"Female","18 - 29","white","south",4945373
"Female","18 - 29","white","west",2655850
"Female","30 - 49","asian","midwest",405178
"Female","30 - 49","asian","northeast",652753
"Female","30 - 49","asian","south",803540
"Female","30 - 49","asian","west",1401346
"Female","30 - 49","black","midwest",958179
"Female","30 - 49","black","northeast",859010
"Female","30 - 49","black","south",3423340
"Female","30 - 49","black","west",470241
"Female","30 - 49","hispanic","midwest",743870
"Female","30 - 49","hispanic","northeast",1183189
"Female","30 - 49","hispanic","south",3203224
"Female","30 - 49","hispanic","west",3194587
"Female","30 - 49","other","midwest",215349
"Female","30 - 49","other","northeast",176611
"Female","30 - 49","other","south",423268
"Female","30 - 49","other","west",475365
"Female","30 - 49","white","midwest",6178871
"Female","30 - 49","white","northeast",4287019
"Female","30 - 49","white","south",8624208
"Female","30 - 49","white","west",4806490
"Female","50 - 64","asian","midwest",184699
"Female","50 - 64","asian","northeast",348700
"Female","50 - 64","asian","south",417046
"Female","50 - 64","asian","west",888642
"Female","50 - 64","black","midwest",648597
"Female","50 - 64","black","northeast",655789
"Female","50 - 64","black","south",2380563
"Female","50 - 64","black","west",333201
"Female","50 - 64","hispanic","midwest",318651
"Female","50 - 64","hispanic","northeast",642132
"Female","50 - 64","hispanic","south",1627629
"Female","50 - 64","hispanic","west",1646802
"Female","50 - 64","other","midwest",109030
"Female","50 - 64","other","northeast",93711
"Female","50 - 64","other","south",226745
"Female","50 - 64","other","west",255908
"Female","50 - 64","white","midwest",5574508
"Female","50 - 64","white","northeast",4189355
"Female","50 - 64","white","south",7659951
"Female","50 - 64","white","west",4134977
"Female","65 +","asian","midwest",125166
"Female","65 +","asian","northeast",246092
"Female","65 +","asian","south",289494
"Female","65 +","asian","west",785418
"Female","65 +","black","midwest",512619
"Female","65 +","black","northeast",504931
"Female","65 +","black","south",1724871
"Female","65 +","black","west",239612
"Female","65 +","hispanic","midwest",171166
"Female","65 +","hispanic","northeast",412913
"Female","65 +","hispanic","south",1051622
"Female","65 +","hispanic","west",993336
"Female","65 +","other","midwest",62551
"Female","65 +","other","northeast",61902
"Female","65 +","other","south",145270
"Female","65 +","other","west",169598
"Female","65 +","white","midwest",5534313
"Female","65 +","white","northeast",4312460
"Female","65 +","white","south",8226081
"Female","65 +","white","west",4461234
"Male","18 - 29","asian","midwest",244108
"Male","18 - 29","asian","northeast",331386
"Male","18 - 29","asian","south",368333
"Male","18 - 29","asian","west",703915
"Male","18 - 29","black","midwest",673358
"Male","18 - 29","black","northeast",581069
"Male","18 - 29","black","south",2189615
"Male","18 - 29","black","west",375378
"Male","18 - 29","hispanic","midwest",563263
"Male","18 - 29","hispanic","northeast",807323
