"timestamp","consent","lifesat","econnow","econfut","attcheck","discuss_nat","discuss_eu","discuss_loc","trust_media","trust_parties","trust_legal","trust_police","trust_army","trust_gov","trust_eu","trust_nato","imageeu","demsat","ukract_sanction","ukract_weapons","ukract_refugee","prolific_id","age","sex","residence","education","party"
NA,"I agree","Very satisfied","Rather bad","Worse","Few times a week","Never","Occasionally","Never","Tend not to trust","Tend not to trust","Tend to trust","Don't know","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Fairly positive","Very satisfied","Tend to agree","Totally agree","Totally agree","6NMWID1PMB",21,"female","Scotland",NA,NA
NA,"I agree","Very satisfied","Very good","Worse","Once a day","Frequently","Occasionally","Never","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Fairly positive","Fairly satisfied","Tend to agree","Tend to agree","Tend to agree","RQKE8BMBW6",21,"female","Scotland",NA,NA
NA,"I agree","Fairly satisfied","Don't know","Better","Once a day","Never","Occasionally","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Don't know","Neutral","Fairly satisfied","Totally agree","Tend to disagree","Totally agree","R91JV4V0LB",21,"female","South East",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Better","Once a day","Occasionally","Occasionally","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Don't know","Tend to trust","Neutral","Fairly satisfied","Totally agree","Totally disagree","Totally disagree","2HZT7AW3JC",19,"female","London",NA,NA
NA,"I agree","Very satisfied","Rather bad","The same","Once a day","Never","Occasionally","Frequently","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Don't know","Tend not to trust","Very positive","Not at all satisfied","Totally agree","Tend to agree","Totally agree","QIX84MI9JT",18,"female","North West",NA,NA
NA,"I agree","Very satisfied","Rather good","Better","Once a day","Never","Occasionally","Never","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Very positive","Not very satisfied","Totally disagree","Totally agree","Totally agree","SAL4ECCL86",29,"male","Scotland",NA,NA
NA,"I agree","Not very satisfied","Very bad","Worse","Once a day","Occasionally","Frequently","Occasionally","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Neutral","Not at all satisfied","Totally agree","Tend to disagree","Totally agree","MKGS42TOVD",26,"female","North East",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Better","Once a day","Frequently","Never","Occasionally","Tend to trust","Tend not to trust","Tend to trust","Don't know","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Neutral","Not at all satisfied","Totally agree","Totally agree","Totally agree","8LPRC5XI0G",23,"female","Wales",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Better","Once a day","Occasionally","Occasionally","Frequently","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Very positive","Very satisfied","Totally agree","Totally agree","Totally agree","791E33BE9B",22,"male","Scotland",NA,NA
NA,"I agree","Fairly satisfied","Rather good","The same","Once a day","Occasionally","Occasionally","Frequently","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Don't know","Tend not to trust","Tend to trust","Tend to trust","Fairly positive","Fairly satisfied","Totally agree","Tend to agree","Totally agree","W5TMQOMZ0O",24,"female","East Midlands",NA,NA
