"Zeitstempel","In the box below, please put your height in centimeters.","Are you male or female? "
"2023/07/27 2:07:52 PM OESZ","194","Male"
"2023/07/28 10:42:42 AM OESZ","179","Male"
"2023/07/28 10:49:32 AM OESZ","163","Female"
"2023/07/28 10:49:41 AM OESZ","168","Female"
"2023/07/28 10:49:44 AM OESZ","181","Male"
"2023/07/28 10:49:44 AM OESZ","187","Male"
"2023/07/28 10:49:58 AM OESZ","170","Female"
"2023/07/28 10:50:03 AM OESZ","178","Male"
"2023/07/28 10:50:05 AM OESZ","183","Male"
"2023/07/28 10:50:07 AM OESZ","162","Female"
"2023/07/28 10:50:08 AM OESZ","190","Male"
"2023/07/28 10:50:08 AM OESZ","170","Male"
"2023/07/28 10:50:14 AM OESZ","170","Female"
"2023/07/28 10:50:25 AM OESZ","169","Female"
"2023/07/28 10:50:28 AM OESZ","176","Male"
"2023/07/28 10:50:30 AM OESZ","175","Female"
"2023/07/28 10:50:31 AM OESZ","181","Male"
"2023/07/28 10:50:32 AM OESZ","170","Female"
"2023/07/28 10:50:32 AM OESZ","185","Male"
"2023/07/28 10:50:33 AM OESZ","169","Female"
"2023/07/28 10:50:45 AM OESZ","188","Male"
