name,bio,site,year,category
Thomas Davidson,"Thomas Davidson is a PhD candidate in Sociology at Cornell University. In fall 2020 he will be an Assistant Professor of Sociology at Rutgers University. He studies political discussions, hate speech, and other topics using digital trace data. His research involves a number of different computational methods including machine learning, natural language processing, and social network analysis.",tuscon,2020,organizer
Yotam Shmargad,"Yotam Shmargad is an Assistant Professor in the School of Government & Public Policy at the University of Arizona. His research focuses on understanding how social media platforms shape political life in the United States. He uses a mix of statistical and computational methods, including social network analysis, online data collection, virtual experimentation, sentiment analysis, and machine learning.",tuscon,2020,organizer
Katherine McCabe,"Katie is Assistant Professor of Political Science at Rutgers University. Her research interests include public opinion, social identity, and political psychology",rutgers,2020,organizer
Hana Shepherd,"Hana is Assistant Professor of Sociology at Rutgers University. Her research focuses on social networks, social norms, and group cultures.",rutgers,2020,organizer
Kira Sanbonmatsu,"Kira is Professor of Political Science at Rutgers University and Senior Scholar at the Center for American Women and Politics at the Eagleton Institute of Politics. Her research interests include gender, race/ethnicity, parties, public opinion, and state politics",rutgers,2020,organizer
Vissého Adjiwanou,"Vissého Adjiwanou is a professor of Demography and quantitative and computational methods in the department of Sociology at the Université du Québec à Montréal (UQAM). He is affiliate with the Centre on Population Dynamics (McGill University), and the department of Demography (Université de Montréal). Previously, he has served as Senior Lecturer at the University of Cape Town in South Africa. He received a M.A in Statistics from the National School of Statistics and Applied Economics (ENSEA-Cote d’Ivoire), a M.A in Economics of Development at the Centre for Studies and Research on International Development (CERDI- France) and a Ph.D in Demography from the Université de Montréal (Canada). His research focusses in population issues in sub-Saharan Africa and in Canada, including fertility, family dynamics, gender inequality, reproductive health, and migration. Vissého is the organizer of the first two Summer Institute in Computational Social Science at the University of Cape Town (South Africa).",montreal,2020,organizer
Julie Hussin,"Dr. Hussin is an early career Principal Investigator at the Montreal Heart Institute since January 2017 and Assistant Professor in the Department of Medicine of the Faculty of Medicine at Université de Montréal. She is an active member of the Institute for Data Valorization (IVADO) funded by Canada First Excellence Funds. She has extensive expertise in computational biology, statistics, molecular evolution and human genetics. In particular, she is an expert in population genetics and has worked on natural selection and population demography in the founding population of Quebec, deepening our understanding of the French-Canadians’ genetic make-up.  Her bioinformatics team have significant experience in handling and integrating large datasets and in developing computational tools, including Bayesian methods and machine learning approaches in genomics.",montreal,2020,organizer
Monika Leszczyńska,"Monika Leszczyńska is Assistant Professor of Empirical Legal Research at the Maastricht University Faculty of Law, Netherlands. She received her PhD in law from University of Bonn (Germany). In her research, she uses laboratory and online experiments as well as content analysis to deliver evidence-based insights to legal decision-makers on the impact of law on human behavior. Among others, she has researched how gender quotas influence group cooperation. She also studies how individuals make decisions in the online environment, i.e., how zero-price offers affect people’s decisions about their contractual rights and privacy. This research project has been funded by a Marie Skłodowska-Curie Individual Fellowship.",maastricht,2020,organizer
Catalina Goanta,"Catalina is Assistant Professor in Private Law at Maastricht University and co-manager of the Maastricht Law and Tech Lab. Her current research addresses decentralization and Internet governance, with projects such as the regulation of social media influencers, where she looks at monetization and content moderation on social media. During February 2018 - February 2019, Catalina was a Niels Stensen fellow and visited the University of St. Gallen (The Institute of Work and Employment) and Harvard University (The Berkman Center for Internet and Society). Catalina is also a non-residential fellow of the Stanford Transatlantic Technology Law Forum, and was a visiting researcher at the Stanford Law School during September 2017.",maastricht,2020,organizer
Alina Arseniev-Koehler,"Alina Arseniev-Koehler is currently a graduate student at the University of California Los Angeles pursuing a PhD in Sociology. Substantively, her research interests include culture, cognitive sociology, language, and health and illness. Methodologically, she is interested in computational social science and machine-learning, with a focus on the computational analysis of language. Her Master’s research aimed to provide a cognitively plausible, computational account of the schemata activated by news reporting on obesity. Alina also enjoys learning and teaching new computational techniques and helps coordinate the Computational Sociology Working Group at UCLA",los-angeles,2020,organizer
